2026-09-15T08:55:24.904555Z | inspection_cycle | cam=9 frame=1 product=bench-lan10 | capture=0.311s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.311s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.920513400Z | inspection_cycle | cam=6 frame=1 product=bench-lan7 | capture=0.312s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.312s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.922508600Z | inspection_cycle | cam=1 frame=1 product=bench-lan2 | capture=0.311s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.311s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.926497400Z | inspection_cycle | cam=3 frame=1 product=bench-lan4 | capture=0.311s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.311s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.927495100Z | inspection_cycle | cam=4 frame=1 product=bench-lan5 | capture=0.312s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.312s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.928492500Z | inspection_cycle | cam=0 frame=1 product=bench-lan1 | capture=0.313s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.313s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.928492500Z | inspection_cycle | cam=5 frame=1 product=bench-lan6 | capture=0.311s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.311s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.929489500Z | inspection_cycle | cam=7 frame=1 product=bench-lan8 | capture=0.311s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.311s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.930487Z | inspection_cycle | cam=2 frame=1 product=bench-lan3 | capture=0.312s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.312s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:24.932481100Z | inspection_cycle | cam=8 frame=1 product=bench-lan9 | capture=0.312s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.312s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:55:34.845991200Z | inspection_cycle | cam=6 frame=2 product=bench-lan7 | capture=0.230s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.230s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
